name,sector,start_year,end_year,years_operation_cleaned
99dresses,Retail Trade,2010,2013,3
Ahalife,Retail Trade,2010,2017,7
Airy Labs,Information,2010,2012,2
AllRomance,Retail Trade,2006,2016,10
Ampush,Professional Scientific and Technical Services,2010,2023,13
Anki,Manufacturing,2010,2019,9
Aria Insights,Manufacturing,2008,2019,11
Arivale,Health Care,2015,2019,4
Aryballe,Manufacturing,2014,2022,8
Ask Jeeves,Information,1996,2007,11
Atrium,Professional Scientific and Technical Services,2017,2021,4
Auctionata,Retail Trade,2012,2018,6
Augury Books,Retail Trade,2012,2017,5
Avant,Finance and Insurance,2012,2023,11
Babble,Information,2006,2017,11
Bebo,Information,2005,2019,14
Beepi,Retail Trade,2013,2017,4
BeRecruited,Information,2007,2019,12
Better Place,Manufacturing,2007,2014,7
Bina Technologies,Health Care,2011,2016,5
BioViva,Health Care,2015,2021,6
Bitpass,Finance and Insurance,2002,2008,6
BlackJet,Transportation and Warehousing,2012,2017,5
Block Party,Information,2020,2023,3
Bloom Energy,Manufacturing,2001,2011,10
Blurb,Manufacturing,2005,2020,15
Blync,Information,2013,2018,5
BountyJobs,Information,2006,2021,15
Boxed,Retail Trade,2013,2021,8
BranchOut,Information,2010,2017,7
Breather,Real Estate and Rental and Leasing,2012,2021,9
BrightFarms,Agriculture Forestry Fishing and Hunting,2011,2023,12
Brit + Co,Information,2011,2021,10
BufferBox,Transportation and Warehousing,2011,2015,4
Burbn,Information,2010,2012,2
Burstly,Information,2008,2014,6
Butterfly Health,Health Care,2014,2019,5
Cafe X,Accommodation and Food Services,2015,2021,6
Cake Financial,Finance and Insurance,2006,2011,5
Calxeda,Manufacturing,2008,2015,7
Canary,Manufacturing,2012,2020,8
Canvas,Information,2011,2017,6
Carwoo,Retail Trade,2009,2015,6
Catelyn,Retail Trade,2015,2018,3
Caviar,Accommodation and Food Services,2012,2020,8
Change.org,Information,2007,2022,15
Chef\u2019d,Accommodation and Food Services,2014,2019,5
Chinictown,Retail Trade,2013,2017,4
Chirp,Information,2011,2016,5
ChowNow,Accommodation and Food Services,2011,2023,12
Circle,Finance and Insurance,2013,2023,10
Clarity Money,Finance and Insurance,2016,2022,6
ClassPass,Arts Entertainment and Recreation,2013,2023,10
Clever,Information,2012,2021,9
ClickFacts,Professional Scientific and Technical Services,2005,2011,6
Clinkle,Finance and Insurance,2011,2016,5
Cloudera,Information,2008,2023,15
CloudHammer,Information,2007,2012,5
Clover,Accommodation and Food Services,2012,2020,8
Club Penguin,Arts Entertainment and Recreation,2005,2017,12
Cocoon,Information,2018,2022,4
Codeacademy,Information,2011,2022,11
Coinbase NFT,Finance and Insurance,2021,2023,2
CollabFinder,Information,2011,2018,7
Color Labs,Information,2011,2014,3
Combatant Gentlemen,Retail Trade,2012,2020,8
Connect,Information,2010,2016,6
ContextLogic,Retail Trade,2010,2023,13
Coub,Information,2012,2021,9
Couchsurfing,Administrative and Support Services,2004,2020,16
Covo,Real Estate and Rental and Leasing,2015,2020,5
Crate,Retail Trade,2014,2018,4
Crunchyroll,Information,2006,2021,15
Curb Food,Accommodation and Food Services,2019,2023,4
Curse,Information,2006,2020,14
Cypress,Manufacturing,2014,2020,6
DailyBurn,Arts Entertainment and Recreation,2007,2019,12
Dailylook,Retail Trade,2011,2020,9
Datto,Information,2007,2022,15
Dealflicks,Arts Entertainment and Recreation,2012,2019,7
Deem,Information,2000,2014,14
Delight,Retail Trade,2012,2017,5
Delivery Hero,Accommodation and Food Services,2011,2023,12
Deskbeers,Accommodation and Food Services,2014,2019,5
Detour,Information,2013,2019,6
Digg,Information,2004,2018,14
Din,Retail Trade,2013,2016,3
Dinner Lab,Accommodation and Food Services,2011,2017,6
Disruptive Media,Information,2012,2017,5
Divshot,Information,2011,2016,5
Domo,Information,2010,2023,13
DoorDash Air,Transportation and Warehousing,2020,2023,3
Doppler Labs,Manufacturing,2013,2018,5
DormChat,Information,2014,2017,3
Dot & Bo,Retail Trade,2013,2018,5
Doximity,Health Care,2010,2022,12
Drawbridge,Professional Scientific and Technical Services,2011,2021,10
Drizly,Retail Trade,2012,2023,11
Dropbox Paper,Information,2015,2021,6
Drifty,Information,2012,2019,7
DroneBase,Professional Scientific and Technical Services,2014,2022,8
Drync,Retail Trade,2012,2019,7
Dundee Venture,Finance and Insurance,2010,2020,10
Dunwello,Information,2013,2018,5
E la Carte,Accommodation and Food Services,2008,2019,11
Earbits,Arts Entertainment and Recreation,2010,2018,8
Ecomom,Retail Trade,2009,2013,4
Eden,Administrative and Support Services,2015,2021,6
Edmodo,Information,2008,2021,13
EduKart,Information,2011,2018,7
Egomotion,Arts Entertainment and Recreation,2012,2017,5
Eko,Health Care,2013,2020,7
Elance,Administrative and Support Services,1999,2014,15
ElectricObjects,Retail Trade,2014,2020,6
